"notation","title","description","id","title_en","description_en","title_fr","description_fr","title_it","description_it","title_rm","description_rm"
"","rot","","q9p","red","","rouge","","rosso","","cotschen",""
"","blau","","y3p","blue","","bleu","","blu","","blau",""
"","gelb","","s2g","yellow","","jaune","","giallo","","mellen",""
